Source,Year,FirstAuthor,API,Injection FlowRate (cc/hour),CoreArea (cm^2),Injection Velocity (cm/hour),AsphalteneContent (wt. %),RockType,Porosity (%),Permeability (mD),CoreLength (cm),Temperature (c),PoreVolume injected,K/K0
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,0,1
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,0.115471324,0.9525
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,0.263307353,0.83543
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,0.437258824,0.63288
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,0.775886029,0.52693
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,0.934588235,0.47059
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,1.119922059,0.44572
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,1.337104412,0.43433
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,1.5489375,0.41169
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,1.771429412,0.40254
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,1.988611765,0.39115
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,30,5.14719,5.82843,3,Carbonate,35,11.3,26.5,22,2.205882353,0.38425
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,120,5.14719,23.31371,3,Carbonate,35,11.3,26.5,22,0,1
doi.org/10.2118/50963-PA,1998,M.A. Ali,29.9,120,5.14719,23.31371,3,Carbonate,35,11.3,26.5,22,0.904041176,1
